#ind,TIC,period_2g,period_2g_sigma_low,period_2g_sigma_high,chi2_2g,period_pf,period_pf_sigma_low,period_pf_sigma_high,chi2_pf,period_combined,period_combined_sigma_low,period_combined_sigma_high
0,86081744,4.33966364,0.00093810,0.00093615,13893.88039011,4.33891623,0.00054925,0.00002548,13835.27713085,4.33893526,0.00045028,0.00118761
1,13351941,NaN,0.00000086,0.00000087,NaN,1.58059293,0.00000027,0.00000031,20853510.61908037,1.58059293,0.00000027,0.00000031
2,79403459,NaN,0.00000015,0.00000015,NaN,0.43530495,0.00000010,0.00000011,14751713.48909251,0.43530495,0.00000010,0.00000011
3,119461266,NaN,0.00000179,0.00000185,NaN,2.94629688,0.00000167,0.00000167,40107853.09607573,2.94629688,0.00000167,0.00000167
4,28763683,0.89170126,0.00001154,0.00001107,24412.34188104,0.89171140,0.00000600,0.00000723,23616.13831174,0.89170777,0.00001191,0.00000875
5,64783257,3.85517708,0.00041224,0.00043986,11186.43256342,3.85509494,0.00079132,0.00060602,11669.68726046,3.85514119,0.00058543,0.00051428
6,53189332,9.29318611,0.00378894,0.00389115,11174.15427087,9.29297514,0.00000000,0.00000000,11419.24382019,9.29316736,0.00373127,0.00390267
7,86182628,29.19916562,1.66698749,2.08392411,35803.15551134,26.54404358,0.05298293,0.09054777,23838.42715702,26.61889543,0.11426911,3.15398427
8,139207681,NaN,0.00000067,0.00000066,NaN,0.49367831,0.00000021,0.00000021,304004.64187784,0.49367831,0.00000021,0.00000021
9,139252264,1.13249965,0.00002354,0.00002263,23699.69910164,NaN,NaN,NaN,31723.52401457,1.13249928,0.00002306,0.00002310
10,9209932,3.52251156,0.00037193,0.00036294,30836.02317776,3.52363156,0.00200275,0.00003829,31267.61729116,3.52268952,0.00063963,0.00096058
11,139256217,2.19889454,0.00009084,0.00009633,44776.49773819,2.19897240,0.00003639,0.00003670,41669.46650516,2.19895288,0.00009839,0.00005218
12,64904640,4.66365422,0.00019208,0.00021073,21259.29669658,4.66422225,0.00020032,0.00011745,22583.81947492,4.66393268,0.00036910,0.00034143
13,70999666,2.94431253,0.00003393,0.00003537,30636.14904778,2.94431998,0.00001931,0.00002085,28958.49122480,2.94431751,0.00002664,0.00002588
14,120258315,2.91153822,0.00000380,0.00000392,15742769.40779828,2.91161806,0.00000602,0.00000600,10657307.58452450,2.91161223,0.00007496,0.00000965
